T_harvest,d_exact,d_fourier,Vtilde,residual_at_t0star
0.0,0.0,0.0,1.8330593897705365e7,-11416.188509321304
3.65,0.0,2.023663939516516,1.8298876578126203e7,-11200.690639453813
7.3,0.0,0.0,1.8263726212990344e7,-13872.750155528327
10.95,0.0,6.045988003113396,1.8211562903563567e7,-19324.62622217108
14.6,0.0,0.0,1.8154079617270477e7,-14794.523799376184
18.25,0.0,3.080205836289675,1.8130467182636768e7,-3172.6228316978622
21.9,83.39891345395657,73.7203107475738,1.88333065809137e7,-0.0016243831705651246
25.55,79.74892551552414,88.64434164160971,1.8833306611980416e7,0.0005794338071609673
29.2,76.09892075442865,69.57639133864609,1.883330659982842e7,0.00035571840135162347
32.85,72.44891812980146,76.20189215176921,1.8833306592924226e7,0.0005015407209612022
36.5,68.7989142062128,67.64808288420213,1.883330658222909e7,-0.0001437232140233391
40.15,65.14893679003595,64.29452424854883,1.8833306640467644e7,-0.0004489047582865169
43.8,61.49892880888541,63.50344184434934,1.8833306619901773e7,0.00022120510902823298
47.45,57.84892274921947,55.59588791372278,1.883330660488693e7,0.00014089576825426775
51.1,54.1989198987108,55.95531845233195,1.8833306597487036e7,-0.0002735162952376413
54.75,50.54893304702996,49.73148197577834,1.883330663163305e7,-0.0005337301195140753
58.4,46.89889544579975,46.69384402724119,1.8833306533836626e7,-0.0013766472034149047
62.05,43.24894662925948,44.24170664557803,1.883330666587834e7,9.86406389529293e-5
65.7,39.5989321211533,38.25389438041257,1.8833306628447305e7,0.00013435281107376795
69.35,35.948920932430944,37.166072787484445,1.883330660026745e7,-0.00013961908507553744
73.0,32.29889649904909,31.586103860472267,1.883330653734094e7,-0.0005839011832904362
76.65,28.648926076028506,28.684833503314685,1.883330661347089e7,0.00017069567229555105
80.3,24.99892769609587,25.579776364418954,1.8833306617518287e7,0.00010420359603813267
83.95,21.348900728091873,20.400390710599083,1.8833306548031565e7,-0.0008980292673186341
87.6,17.698922100539665,18.672826927540783,1.883330660260219e7,0.00026112584100701497
91.25,14.048928087307267,13.370974831040991,1.8833306618605915e7,-0.00013557469264924293
94.9,10.398920743384899,10.574897806417596,1.883330659967322e7,-0.0005582603130278585
98.55,6.7489197288561735,7.124358622032092,1.8833306596820638e7,-0.00022698926431985456
102.2,3.0989133841904892,2.2253244991065397,1.8833306580799386e7,-0.0003560365494195139
105.85,0.0,1.2156854135368191,1.8834714486562796e7,-50.23745008108472
109.5,0.0,0.0,1.8843357917293336e7,-371.264642477468
113.15,0.0,0.2466933345375657,1.8850897527558476e7,-658.5993369857197
116.8,0.0,0.1737847583551998,1.8857444272752944e7,-915.1894427843727
120.45,0.0,0.0,1.886310221731914e7,-1145.0762333392663
124.1,0.0,0.6551766165709941,1.8867968625387806e7,-1351.1114645849707
127.75,0.0,0.0,1.887213269636939e7,-1534.1843941572633
131.4,0.0,0.3039069939250785,1.8875674848103393e7,-1694.810479664724
135.05,0.0,0.05816088283412868,1.8878667674105126e7,-1834.9723639751896
138.7,0.0,0.0,1.888117768843796e7,-1957.953429757105
142.35,0.0,0.5719052614435163,1.8883266055022027e7,-2066.500316256458
146.0,0.0,0.0,1.8884987864015676e7,-2161.6210584893693
149.65,0.0,0.35349584519879373,1.8886391322785135e7,-2243.478673148835
153.3,0.0,0.0,1.8887518222959805e7,-2313.1560677996877
156.95,0.0,0.0,1.8888405477242064e7,-2373.093836962958
160.6,0.0,0.5016773624078952,1.888908615886011e7,-2425.7473488970586
164.25,0.0,0.0,1.8889589183374394e7,-2472.167978769129
167.9,0.0,0.39584712507145936,1.8889938461947612e7,-2512.2795102346468
171.55,0.0,0.0,1.8890152928304467e7,-2546.4032026825016
175.2,0.0,0.0,1.8890247751721714e7,-2576.1922365492815
178.85,0.0,0.43874323021047124,1.8890235514218304e7,-2603.7707231921413
182.5,0.0,0.0,1.8890126236693647e7,-2630.2284358387856
186.15,0.0,0.4341494195606188,1.8889926537846982e7,-2655.3631799351456
189.8,0.0,0.0,1.8889639268251695e7,-2678.9758756555975
193.45,0.0,0.0,1.888926432339827e7,-2702.016129698067
197.1,0.0,0.379458473722015,1.8888799839658577e7,-2726.291132692032
200.75,0.0,0.0,1.8888242483644348e7,-2752.9868270590205
204.4,0.0,0.4706755925268534,1.8887586681585193e7,-2781.981855363393
208.05,0.0,0.0,1.8886823903047916e7,-2812.7201230670225
211.7,0.0,0.0,1.888594304844337e7,-2845.621828838176
215.35,0.0,0.3208405593910376,1.8884931550190873e7,-2882.218270651779
219.0,0.0,0.0,1.8883775900652178e7,-2923.9082536544693
222.65,0.0,0.5073095230325171,1.8882461021845188e7,-2970.7883353320804
226.3,0.0,0.0,1.888096926510995e7,-3022.173865605541
229.95,0.0,0.050376350825091565,1.8879280353947874e7,-3078.124846358485
233.6,0.0,0.25999278070288134,1.8877372314295385e7,-3139.9053666208183
237.25,0.0,0.0,1.8875222239843167e7,-3209.1607406935173
240.9,0.0,0.5459539328662719,1.8872805898846824e7,-3286.453797414561
244.55,0.0,0.0,1.8870096486362353e7,-3371.157480178312
248.2,0.0,0.14015767474853127,1.8867064155294996e7,-3462.9889879982293
251.85,0.0,0.19353000920476693,1.8863676739773292e7,-3563.0640560185143
255.5,0.0,0.0,1.8859900712694924e7,-3673.325307578965
259.15,0.0,0.5889491203094255,1.8855701095427614e7,-3794.8684831261185
262.8,0.0,0.0,1.885104020930923e7,-3927.2977557427566
266.45,0.0,0.24257105310179028,1.884587674250266e7,-4070.0390282497815
270.1,0.0,0.11675617099968538,1.8840166142167285e7,-4223.993998498254
273.75,0.0,0.0,1.883386185217701e7,-4391.496935956098
277.4,0.0,0.6397117448059382,1.8826915881965384e7,-4573.963881121474
281.05,0.0,0.0,1.88192774464177e7,-4771.546199750488
284.7,0.0,0.3669725673814992,1.8810891838615704e7,-4983.172982485626
288.35,0.0,0.022115999596831082,1.880170052862018e7,-5209.536136036968
292.0,0.0,0.0,1.8791642867512878e7,-5452.4053441350225
295.65,0.0,0.7040197419006695,1.8780657251435164e7,-5714.204767298008
299.3,0.0,0.0,1.876868067115947e7,-5994.882254557188
302.95,0.0,0.5301554590164734,1.875564737257866e7,-6293.464021831932
306.6,0.0,0.0,1.874148895394239e7,-6607.28717766421
310.25,0.0,0.0,1.87261367237392e7,-6939.188444495394
313.9,0.0,0.7931634765240398,1.8709524582057137e7,-7290.618060871253
317.55,0.0,0.0,1.8691590055772893e7,-7661.167659126459
321.2,0.0,0.7671821746949078,1.8672273731098957e7,-8047.131385207876
324.85,0.0,0.0,1.8651519740724795e7,-8444.19895211437
328.5,0.0,0.0,1.86292796087361e7,-8850.460027384624
332.15,0.0,0.9334555694552524,1.860551807705759e7,-9265.799454959491
335.8,0.0,0.0,1.858021752198587e7,-9687.530692553462
339.45,0.0,1.1677007305885987,1.8553379593428962e7,-10107.25464334747
343.1,0.0,0.0,1.852502706939525e7,-10512.93640138809
346.75,0.0,0.0,1.84952103746446e7,-10894.185772517341
350.4,0.0,1.20500845877017,1.8464020378729727e7,-11243.596813510649
354.05,0.0,0.0,1.8431606143986467e7,-11550.373627149696
357.7,0.0,2.0532930955064197,1.8398202463674016e7,-11786.663611552773
361.35,0.0,0.0,1.836420830251045e7,-11876.50334498673
