t,k,m,lambda,k_const,m_const,lambda_const
0,0.005399435230304014,0.00022103418361512928,0.00040774227426885687,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
1,0.005436498825114265,0.00022179315686222446,0.00041834529977944506,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
2,0.0054733191608924295,0.00022254791549178042,0.0004290936151564752,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
3,0.005509876851393534,0.00022329817403321758,0.0004399810295041805,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
4,0.005546152385316126,0.0002240436463025218,0.0004510008569475572,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
5,0.005582126143355909,0.00022478404555915607,0.0004621459115740243,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
6,0.005617778415788493,0.00022551908466642736,0.00047340850380746545,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
7,0.005653089420561074,0.00022624847625519337,0.00048478043830157996,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
8,0.00568803932187104,0.00022697193289077252,0.0004962530134361489,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
9,0.005722608249207963,0.00022768916724292298,0.0005078170224957958,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
10,0.005756776316833858,0.00022839989225873942,0.0005194627566061071,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
11,0.005790523643674808,0.00022910382133831757,0.0005311800094964946,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
12,0.005823830373595744,0.0002298006685130248,0.0005429580841530554,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
13,0.005856676696028448,0.00023049014862620842,0.0005547858014177633,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
14,0.005889042866921509,0.0002311719775161688,0.0005666515105827819,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
15,0.005920909229979462,0.00023184587220121625,0.0005785431020204055,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
16,0.005952256238157119,0.00023251155106662074,0.0005904480218802461,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
17,0.005983064475373613,0.00023316873405326662,0.0006023532888757265,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
18,0.006013314678409684,0.0002338171428478077,0.0006142455131718556,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
19,0.006042987758950459,0.0002344565010741227,0.0006261109173755961,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
20,0.006072064825734915,0.00023508653448585346,0.0006379353596190111,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
21,0.00610052720677245,0.0002357069711598164,0.0006497043587138443,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
22,0.006128356471585809,0.00023631754169006774,0.0006614031213442815,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
23,0.006155534453439099,0.0002369179793823888,0.0006730165712524613,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
24,0.0061820432715088925,0.00023750802044897353,0.0006845293803589366,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
25,0.006207865352955759,0.00023808740420307856,0.0006959260017477918,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
26,0.00623298345485328,0.00023865587325340112,0.0007071907044335972,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
27,0.0062573806859311295,0.00023921317369794958,0.000718307609814931,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
28,0.006281040528088726,0.00023975905531715839,0.0007292607297068992,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
29,0.006303946857635717,0.0002402932717660104,0.0007400340058330575,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
30,0.006326083966215733,0.00024081558076491908,0.0007506113506454452,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
31,0.006347436581369899,0.00024132574428911919,0.0007609766893302385,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
32,0.006367989886696991,0.00024182352875632982,0.0007711140028458604,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
33,0.006387729541567329,0.0002423087052124289,0.0007810073718303752,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
34,0.006406641700348372,0.00024278104951490101,0.0007906410212057738,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
35,0.006424713031100253,0.00024324034251380796,0.0007999993652982991,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
36,0.006441930733700637,0.00024368637023003653,0.0008090670532865612,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
37,0.006458282557358974,0.0002441189240305758,0.0008178290147826672,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
38,0.00647375681748137,0.00024453780080059074,0.0008262705053462963,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
39,0.006488342411848435,0.0002449428031120386,0.0008343771517274106,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
40,0.006502028836069814,0.0002453337393886037,0.0008421349966303484,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
41,0.006514806198280394,0.00024571042406670927,0.000849530542790342,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
42,0.0065266652330448,0.0002460726777523796,0.0008565507961531231,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
43,0.006537597314438385,0.0002464203273737248,0.000863183307949264,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
44,0.006547594468274689,0.0002467532063288332,0.0008694162154572289,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
45,0.006556649383451046,0.00024707115462884875,0.000875238281252846,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
46,0.006564755422386139,0.00024737401903603064,0.0008806389307479971,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
47,0.0065719066305250816,0.0002476616531965863,0.0008856082878277857,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
48,0.006578097744889985,0.0002479339177680893,0.000890137208403236,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
49,0.006583324201655785,0.0002481906805412818,0.000894217311705649,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
50,0.006587582142733703,0.00024843181655609186,0.0008978410091590907,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
51,0.006590868421346684,0.00024865720821167766,0.000901001530678983,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
52,0.006593180606583748,0.0002488667453703497,0.0009036929482573781,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
53,0.0065945169869224725,0.0002490603254551989,0.0009059101967091671,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
54,0.006594876572711199,0.00024923785354128797,0.0009076490914679893,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
55,0.006594259097605172,0.0002493992424402731,0.0009089063433360698,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
56,0.006592665018953148,0.0002495444127783144,0.0009096795701082552,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
57,0.006590095517133548,0.00024967329306716955,0.0009099673050072724,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
58,0.0065865524938417954,0.0002497858197683486,0.0009097690018843985,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
59,0.00658203856933283,0.00024988193735024156,0.0009090850371572432,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
60,0.006576557078625345,0.00024996159833812556,0.0009079167084741092,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
61,0.0065701120666767565,0.0002500247633569736,0.00090626623011219,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
62,0.006562708282540333,0.00025007140116700227,0.0009041367251346507,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
63,0.006554351172518185,0.0002501014886919013,0.0009015322143491902,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
64,0.006545046872326308,0.00025011501103969983,0.0008984576021279549,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
65,0.006534802198290043,0.00025011196151624045,0.0008949186591654661,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
66,0.006523624637590606,0.0002500923416312367,0.0008909220022674534,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
67,0.00651152233758541,0.00025005616109690683,0.0008864750712790317,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
68,0.006498504094227037,0.0002500034378191857,0.0008815861032753588,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
69,0.0064845793396076795,0.00024993419788152643,0.0008762641041517733,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
70,0.006469758128657758,0.0002498484755213199,0.0008705188177631756,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
71,0.006454051125029331,0.0002497463130989671,0.0008643606927741713,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
72,0.00643746958619636,0.0002496277610596521,0.0008578008473920191,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
73,0.00642002534780584,0.0002494928778878745,0.0008508510321637731,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
74,0.006401730807315007,0.00024934173005481406,0.0008435235910270111,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
75,0.006382598906951343,0.0002491743919586052,0.0008358314208102696,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
76,0.006362643116033343,0.00024899094585761607,0.0008277879293846473,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
77,0.006341877412691106,0.0002487914817968341,0.0008194069926720024,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
78,0.006320316265026898,0.00024857609752746985,0.0008107029107177894,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
79,0.006297974611756589,0.00024834489841990494,0.0008016903630377858,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
80,0.0062748678423738555,0.0002480979973701109,0.000792384363447824,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
81,0.006251011776879347,0.0002478355146996891,0.0007828002145842197,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
82,0.006226422645117921,0.00024755757804967895,0.000772953462319812,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
83,0.006201117065767021,0.00024726432226829194,0.0007628598502765821,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
84,0.006175112025019843,0.00024695588929274733,0.0007525352746306531,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
85,0.006148424855006923,0.0002466324280253796,0.0007419957393992353,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
86,0.006121073211999701,0.0002462940942042066,0.0007312573123917734,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
87,0.006093075054439733,0.0002459410502681502,0.0007203360819993259,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
88,0.006064448620836678,0.0002455734652171048,0.0007092481149871079,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
89,0.006035212407578074,0.00024519151446706353,0.0006980094154452404,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
90,0.006005385146693332,0.00024479537970051096,0.0006866358850422217,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
91,0.005974985783613768,0.00024438524871230147,0.0006751432847145057,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
92,0.005944033454969847,0.00024396131525124327,0.0006635471979139562,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
93,0.005912547466466056,0.0002435237788576147,0.0006518629955229949,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
94,0.005880547270872808,0.00024307284469685073,0.0006401058025349873,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
95,0.005848052446173892,0.00024260872338962192,0.000628290466584976,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
96,0.0058150826739069425,0.00024213163083855688,0.000616431528403375,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
97,0.005781657717733061,0.00024164178805184292,0.0006045431942527066,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
98,0.00574779740227078,0.00024113942096394615,0.0005926393103950844,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
99,0.005713521592227939,0.00024062476025370352,0.0005807333396259046,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
100,0.00567885017186396,0.0002400980411600232,0.0005688383398972741,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
101,0.005643803024813346,0.00023955950329545216,0.000556966945043073,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
102,0.005608400014299964,0.00023900939045784755,0.0005451313476063499,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
103,0.005572660963769931,0.00023844795044040837,0.0005333432837590049,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
104,0.005536605637969553,0.00023787543484030848,0.0005216140202935158,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
105,0.005500253724493013,0.00023729209886617962,0.0005099543436567951,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
106,0.0054636248158230144,0.00023669820114469148,0.0004983745509872594,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
107,0.005426738391885731,0.00023609400352646661,0.00048688444310780813,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
108,0.005389613803140045,0.0002354797708915726,0.0004754933194196927,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
109,0.005352270254219065,0.000234855770954833,0.00046420997463526544,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
110,0.00531472678814045,0.00023422227407118742,0.0004530426972812737,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
111,0.0052770022711003,0.00023357955304133298,0.00044199926989881613,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
112,0.005239115377863671,0.00023292788291787395,0.00043108697086116936,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
113,0.005201084577763207,0.00023226754081220855,0.00042031257772658933,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
114,0.0051629281213156405,0.0002315988057023612,0.0004096823720397045,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
115,0.005124664027464275,0.00023092195824198406,0.0003992021454923859,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
116,0.005086310071454127,0.00023023728057072813,0.00038887720735287986,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
117,0.005047883773344558,0.00022954505612619614,0.0003787123930705463,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
118,0.0050094023871630035,0.00022884556945766398,0.0003687120739627269,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
119,0.0049708828907016065,0.00022813910604177113,0.0003588801678900223,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
120,0.00493234197595739,0.00022742595210036102,0.00034922015082658887,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
121,0.0048937960402149205,0.00022670639442064764,0.0003397350692328858,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
122,0.0048552611777693,0.00022598072017788646,0.0003304275531396478,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
123,0.004816753172285788,0.00022524921676071095,0.00032129982985359544,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
124,0.004778287489791281,0.00022451217159928915,0.0003123537381975875,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
125,0.004739879272291531,0.0002237698719964605,0.0003035907432004336,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
126,0.004701543332006902,0.00022302260496198862,0.00029501195115445595,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
127,0.004663294146218383,0.00022227065705006675,0.00028661812496201934,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
128,0.004625145852714469,0.00022151431420021,0.0002784096996956353,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
129,0.004587112245828665,0.00022075386158164974,0.00027038679829984475,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
130,0.004549206773056321,0.00021998958344134601,0.000262549247366836,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
131,0.004511442532238766,0.0002192217629557241,0.0002548965929216492,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
132,0.0044738322693018895,0.0002184506820862309,0.0002474281161568194,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
133,0.004436388376535564,0.00021767662143880616,0.00024014284906034947,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
134,0.004399122891399648,0.00021689986012734576,0.00023303958988501935,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
135,0.004362047495841777,0.0002161206756412368,0.0002261169184111226,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
136,0.004325173516111464,0.00021533934371702792,0.00021937321095880235,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
137,0.004288511923054739,0.00021455613821429797,0.0002128066551101996,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
138,0.00425207333287292,0.00021377133099577451,0.00020641526410558288,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
139,0.004215868008328963,0.00021298519181174724,0.00020019689088152245,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
140,0.004179905860384322,0.00021219798818881082,0.00019414924172293487,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
141,0.004144196450249198,0.00021140998532297615,0.00018826988950447937,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
142,0.004108748991828643,0.0002106214459771626,0.00018255628650031602,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
143,0.0040735723545470654,0.000209832630383097,0.00017700577674459742,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
144,0.00403867506653336,0.00020904379614762413,0.00017161560792828607,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
145,0.004004065318149038,0.00020825519816343533,0.00016638294282095235,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
146,0.00396975096584159,0.00020746708852420652,0.00016130487020907705,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
147,0.003935739536305359,0.00020667971644414414,0.00015637841534510674,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
148,0.003902038230932444,0.00020589332818191734,0.0001516005499040354,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
149,0.0038686539305360203,0.00020510816696895428,0.00014696820144665117,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
150,0.003835593200328858,0.00020432447294208377,0.0001424782623907573,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
151,0.003802862295139876,0.00020354248308047658,0.00013812759849368567,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
152,0.0037704671648518422,0.00020276243114686237,0.00013391305685125237,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
153,0.0037384134600435726,0.0002019845476329663,0.00012983147341995508,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
154,0.0037067065378203353,0.0002012090597091276,0.00012587968007072098,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
155,0.0036753514678163454,0.00020043619117804244,0.0001220545111838294,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
156,0.0036443530383537216,0.0001996661624325719,0.00011835280979582558,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
157,0.003613715762742572,0.00019889919041756143,0.00011477143331026297,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
158,0.003583443885707209,0.0001981354885955983,0.00011130725878500079,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
159,0.0035535413899239737,0.00019737526691664223,0.00010795718780953334,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
160,0.0035240120026565685,0.0001966187317914577,0.00010471815098645864,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
161,0.003494859202475098,0.00019586608606876661,0.00010158711203168559,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
162,0.0034660862260456568,0.00019511752901605044,9.856107150838283e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
163,0.0034376960749775603,0.0001943732563039107,9.563707020995065e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
164,0.0034096915227159238,0.0001936334599939107,9.28121922074883e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
165,0.0033820751214676545,0.00019289832852980752,9.008356757733211e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
166,0.003354849209149479,0.00019216804673208543,8.744837482425133e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
167,0.003328015916347019,0.00019144279579570112,8.490384301583326e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
168,0.0033015771732744703,0.00019072275329094527,8.244725364346716e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
169,0.0032755347167248944,0.00019000809316732775,8.007594222514229e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
170,0.0032498900970015787,0.00018929898576038704,7.778729966504177e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
171,0.0032246446848214426,0.0001885955978013317,7.557877338461919e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
172,0.003199799678181919,0.00018789809242941038,7.344786823951749e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
173,0.0031753561091831637,0.00018720662920691247,7.139214723631771e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
174,0.0031513148507979843,0.00018652136413670068,6.940923206271195e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
175,0.003127676623582242,0.00018584244968217472,6.749680344426238e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
176,0.003104442002319031,0.00018517003478956366,6.565260134047077e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
177,0.0030816114225902286,0.00018450426491244609,6.387442499241026e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
178,0.0030591851872696246,0.00018384528203839893,6.216013283370264e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
179,0.003037163472932055,0.00018319322471767321,6.05076422761359e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
180,0.0030155463361735604,0.00018254822809379205,5.891492938072435e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
181,0.002994333719837807,0.00018191042393598001,5.738002842452274e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
